,N/A (Born in the US),Before 1950,1950 - 1959,1960 - 1969,1970 - 1979,1980 - 1989,1990 - 1999,2000 - 2009,2010 or later
-> Suppressed for data year 2018 for select PUMAs,,,,,,,,,
not_us_citizen,,,,,0,19152,24080,17816,8024
-> Togo (2017 or later),,,,,,,,,
us_citizen,-3277,,,,,0,72794,42130,21490
not_us_citizen,,,,,,28500,45719,19568,6186
-> Other Subsaharan African,,,,,,,,,
us_citizen,2963,,,28335,33859,43491,53278,31062,13482
not_us_citizen,,,0,0,41348,34068,38552,26047,10939
-> Ugandan,,,,,,,,,
us_citizen,4580,,,0,15560,45787,57631,36200,7190
not_us_citizen,,,,,0,24947,51819,48387,17362
-> Zimbabwean (2017 or later),,,,,,,,,
us_citizen,3805,,,0,0,82112,91987,30704,446
not_us_citizen,,,,,13700,0,73560,39905,18938
-> Western African,,,,,,,,,
us_citizen,18671,0,,75206,51400,37752,42708,35896,32275
not_us_citizen,,,,557,13720,36270,32839,30480,16855
-> African,,,,,,,,,
us_citizen,13636,0,21227,27975,41187,54340,46562,32208,16627
not_us_citizen,,0,48763,11693,22035,33568,34888,27022,13666
-> Afghan,,,,,,,,,
us_citizen,2968,0,28456,18902,46256,43500,33555,22428,11550
not_us_citizen,,,,0,32633,22015,16062,12923,6386
-> Bangladeshi,,,,,,,,,
us_citizen,-1864,0,60000,21772,39220,53841,44529,24237,18013
not_us_citizen,,,0,,5350,24672,26522,22622,13435
-> Bhutanese,,,,,,,,,
us_citizen,-9481,,,,,0,20713,16542,12028
not_us_citizen,,,,,,,10031,14760,11922
-> Nepali,,,,,,,,,
